"Authorization","Autorisierung, sofortige Abbuchung"
"Password","Passwort"
"Payment to Specific countries","Zahlung aus bestimmten Ländern"
"Payment to applicable countries","Zahlung aus zugelassenen Ländern"
"Preauthorization","Autorisierung, spätere Abbuchung"
"Request Type","Zahlungsaktion"
"Test Mode","Testmodus"
"The order has been canceled.","Die Bestellung wurde storniert."
"The payment has been authorized successfully","Die Zahlung wurde erfolgreich autorisiert"
"The payment has been captured successfully","Die Zahlung wurde erfolgreich abgebucht"
"You will be redirected to our secure payment page when you place an order.","Sie werden nach der Bestellung an unsere sichere Bezahlseite weitergeleitet."
"Debug","Debug"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Höchstwert für Gesamtbestellung"
"Payment has been preauthorized.","Die Zahlung wurde reserviert."
"Payment has been authorized and captured.","Die Zahlung wurde autorisiert und abgebucht."
"Payment preauthorization started.","Vorautorisierung der Zahlung gestartet."
"Payment authorization started.","Autorisierung der Zahlung gestartet."
"Payment has been captured.","Die Zahlung wurde abgebucht."
"Payment has been refunded.","Die Zahlung wurde zurückerstattet."
"Payment has been reversed.","Die Reservierung wurde storniert."
"Change credit card information","Kreditkarten Informationen ändern"
"Change bank account information","Bankdaten ändern"
"Name on Card","Name auf der Karte"
"Credit Card Type","Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Expiration Date","Gültig bis"
"What is this?","Was ist das?"
"Name on the Card: %s","Name auf der Karte: %s"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"--Please Select--","--Bitte wählen--"
"Month","Monat"
"Year","Jahr"
"Account holder","Kontoinhaber"
"Bank name","Bankname"
"Bank code","Bankleitzahl"
"Account number","Kontonummer"
"Account holder: %s","Kontoinhaber: %s"
"Bank name: %s","Bankname: %s"
"Bank code: %s","Bankleitzahl: %s"
"Account number: xxx%s","Kontonummer: xxx%s"
"Transaction ID: %s","Transaktions-ID: %s"
