"%d department has been successfully deleted","%d department has been successfully deleted"
"%d departments have been successfully deleted","%d departments have been successfully deleted"
"%d email has been successfully deleted","%d email has been successfully deleted"
"%d email has been successfully marked as unprocessed","%d email has been successfully marked as unprocessed"
"%d emails have been successfully deleted","%d emails have been successfully deleted"
"%d emails have been successfully marked as unprocessed","%d emails have been successfully marked as unprocessed"
"%d pattern has been successfully deleted","%d pattern has been successfully deleted"
"%d pattern has been successfully updated.","%d pattern has been successfully updated."
"%d patterns have been successfully deleted","%d patterns have been successfully deleted"
"%d patterns have been successfully updated.","%d patterns have been successfully updated."
"%d template has been successfully deleted","%d template has been successfully deleted"
"%d templates have been successfully deleted","%d templates have been successfully deleted"
"%d ticket has been successfully updated","%d ticket has been successfully updated"
"%d ticket priorities have been successfully deleted","%d ticket priorities have been successfully deleted"
"%d ticket priorities have been successfully updated.","%d ticket priorities have been successfully updated."
"%d ticket priority has been successfully deleted","%d ticket priority has been successfully deleted"
"%d ticket priority has been successfully updated.","%d ticket priority has been successfully updated."
"%d ticket status has been successfully deleted","%d ticket status has been successfully deleted"
"%d ticket status has been successfully updated.","%d ticket status has been successfully updated."
"%d ticket statuses have been successfully deleted","%d ticket statuses have been successfully deleted"
"%d ticket statuses have been successfully updated.","%d ticket statuses have been successfully updated."
"%d tickets have been successfully updated","%d tickets have been successfully updated"
"%d ticket priority has not been updated. The system priorities can’t be disabled","%d ticket priority has not been updated. The system priorities can’t be disabled"
"%d ticket priorities have not been updated. The system priorities can’t be disabled","%d ticket priorities have not been updated. The system priorities can’t be disabled"
"%d ticket status has not been updated. The system status can’t be disabled","%d ticket status has not been updated. The system status can’t be disabled"
"%d ticket statuses have not been updated. The system statuses can’t be disabled","%d ticket statuses have not been updated. The system statuses can’t be disabled"
"(%d) from (%d)  department(s) has been replaced","(%d) from (%d)  department(s) has been replaced"
"(%d) from (%d)  gateway(s) has been replaced","(%d) from (%d)  gateway(s) has been replaced"
"(%d) from (%d)  mail(s) has been replaced","(%d) from (%d)  mail(s) has been replaced"
"(%d) from (%d)  message(s) has been replaced","(%d) from (%d)  message(s) has been replaced"
"(%d) from (%d)  pattern(s) has been replaced","(%d) from (%d)  pattern(s) has been replaced"
"(%d) from (%d)  status(es) has been replaced","(%d) from (%d)  status(es) has been replaced"
"(%d) from (%d)  template(s) has been replaced","(%d) from (%d)  template(s) has been replaced"
"(%d) from (%d)  ticket(s) has been replaced","(%d) from (%d)  ticket(s) has been replaced"
"%s (%s Completed orders)","%s (%s Completed orders)"
"%s (Assign to me)","%s (Assign to me)"
"%s (Primary Agent)","%s (Primary Agent)"
"%s Back to my Support Tickets","%s Back to my Support Tickets"
"%s Tickets","%s Tickets"
"%s is not valid email address.","%s is not valid email address."
"[%s] %s","[%s] %s"
"110 for POP3, 995 for POP3-SSL, 143 for IMAP-TLS and 993 for IMAP-SSL by default","110 for POP3, 995 for POP3-SSL, 143 for IMAP-TLS and 993 for IMAP-SSL by default"
"<a href=""%s"" target=""_blank"">Edit Product Question entry</a></br>%s: <a href=""%s"" target=""_blank"">frontend</a> | <a href=""%s"" target=""_blank"">backend</a>","<a href=""%s"" target=""_blank"">Edit Product Question entry</a></br>%s: <a href=""%s"" target=""_blank"">frontend</a> | <a href=""%s"" target=""_blank"">backend</a>"
"<a href=""%s"" target=""_blank"">[%s]</a> assigned to ""%s"" department","<a href=""%s"" target=""_blank"">[%s]</a> assigned to ""%s"" department"
"aheadWorks - Help Desk Ultimate 3 Section","aheadWorks - Help Desk Ultimate 3 Section"
"ASAP Tickets","ASAP Tickets"
"AVERAGE","AVERAGE"
"Action","Action"
"Actions","Actions"
"Add Department","Add Department"
"Add Email Gateway","Add Email Gateway"
"Add Note","Add Note"
"Add Quick Response","Add Quick Response"
"Add Rejecting Pattern","Add Rejecting Pattern"
"Add Ticket Priority","Add Ticket Priority"
"Add Ticket Status","Add Ticket Status"
"Add Ticket","Add Ticket"
"Admin Permissions","Admin Permissions"
"Agent Name","Agent Name"
"Agent Statistics","Agent Statistics"
"Agent Time Statistics","Agent Time Statistics"
"Agent with id %s doesn't exist","Agent with id %s doesn't exist"
"Agent","Agent"
"Agents","Agents"
"All emails will also be sent to this email address. Use comma-separated values to specify several emails","All emails will also be sent to this email address. Use comma-separated values to specify several emails"
"All members of selected departments can view and edit tickets of this department regardless of other ""Admin Permissions"" settings","All members of selected departments can view and edit tickets of this department regardless of other ""Admin Permissions"" settings"
"All members of selected roles can view and edit tickets of this department regardless of other ""Admin Permissions"" settings","All members of selected roles can view and edit tickets of this department regardless of other ""Admin Permissions"" settings"
"All","All"
"Allow Everything","Allow Everything"
"Allow customer to attach files","Allow customer to attach files"
"Allow external view for tickets","Allow external view for tickets"
"Allow file attachments","Allow file attachments"
"Allow file extensions","Allow file extensions"
"Allow ticket escalation","Allow ticket escalation"
"Allowed for Departments","Allowed for Departments"
"Allowed for Roles","Allowed for Roles"
"Allows customers to view and answer tickets without being logged in","Allows customers to view and answer tickets without being logged in"
"Already completed!","Already completed!"
"Already started in other process","Already started in other process"
"An email address for Help Desk to fetch messages from. This address must NOT be used by any other person or system!","An email address for Help Desk to fetch messages from. This address must NOT be used by any other person or system!"
"Antispam protection triggered","Antispam protection triggered"
"Applicable if department selector on frontend is disabled, all new tickets are assigned to this department automatically. Also this department will be set when admin creates ticket from order page.","Applicable if department selector on frontend is disabled, all new tickets are assigned to this department automatically. Also this department will be set when admin creates ticket from order page."
"Are you dissatisfied with the quality of support?","Are you dissatisfied with the quality of support?"
"Are you sure you want do this?","Are you sure you want do this?"
"Are you sure?","Are you sure?"
"Assign Order","Assign Order"
"Assign Ticket","Assign Ticket"
"Assign to Agent","Assign to Agent"
"Assign to Department","Assign to Department"
"Assign to order","Assign to order"
"Assign","Assign"
"Assignee changed to %s","Assignee changed to %s"
"Attach File(s)","Attach File(s)"
"Attachment (%s Mb Limit)","Attachment (%s Mb Limit)"
"Attachments","Attachments"
"Attachments:","Attachments:"
"Average Time of Closing Tickets (hrs)","Average Time of Closing Tickets (hrs)"
"Average Time of First Reply (hrs)","Average Time of First Reply (hrs)"
"Avg. Closing Ticket Time (hrs)","Avg. Closing Ticket Time (hrs)"
"Avg. First Reply Time (hrs)","Avg. First Reply Time (hrs)"
"Background Color","Background Color"
"Body","Body"
"Build Report","Build Report"
"CSV","CSV"
"Can not assign ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked","Can not assign ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked"
"Can not assign ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked","Can not assign ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked"
"Can not assign tickets to selected agent, because this agent does not belong to any department. To assign agent to department <a href=""%s"" target=""_blank"">[click here]</a>","Can not assign tickets to selected agent, because this agent does not belong to any department. To assign agent to department <a href=""%s"" target=""_blank"">[click here]</a>"
"Can not change priority for ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked","Can not change priority for ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked"
"Can not change status for ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked","Can not change status for ticket <a href=""%s"" target=""_blank"">[%s]</a> it's locked"
"Cancel","Cancel"
"Cannot delete system priority","Cannot delete system priority"
"Cannot delete system status","Cannot delete system status"
"Change Lock Status","Change Lock Status"
"Change Priority","Change Priority"
"Change Status","Change Status"
"Change status","Change status"
"Choose Store View:","Choose Store View:"
