"Enabled","Enabled"
"Invoice ID","Invoice ID"
"New order status","New order status"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Order Amount is wrong.","Order Amount is wrong."
"Payer Purse","Payer Purse"
"Payer WMID","Payer WMID"
"Payment for order #","Payment for order #"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Pending Webmoney","Pending Webmoney"
"Secure check failure.","Secure check failure."
"Secure key","Secure key"
"Show Passport","Show Passport"
"Title in checkout","Title in checkout"
"Transaction ID","Transaction ID"
"WebMoney payment failure.","WebMoney payment failure."
"WMB","WMB"
"WME","WME"
"WMR","WMR"
"WMU","WMU"
"WMY","WMY"
"WMZ","WMZ"
"Wrong Merchant Purse.","Wrong Merchant Purse."
"You will be redirected to WebMoney service in a few seconds.","You will be redirected to WebMoney service in a few seconds."
"You will be redirected to WebMoney website when you place an order.","You will be redirected to WebMoney website when you place an order."
