"Authorization","Authorization"
"Password","Password"
"Payment to Specific countries","Payment to Specific countries"
"Payment to applicable countries","Payment to applicable countries"
"Preauthorization","Preauthorization"
"Request Type","Request Type"
"Test Mode","Test Mode"
"The order has been canceled.","The order has been canceled."
"The payment has been authorized successfully","The payment has been authorized successfully"
"The payment has been captured successfully","The payment has been captured successfully"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"Debug","Debug"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Payment has been preauthorized.","Payment has been preauthorized."
"Payment has been authorized and captured.","Payment has been authorized and captured."
"Payment preauthorization started.","Payment preauthorization started."
"Payment authorization started.","Payment authorization started."
"Payment has been captured.","Payment has been captured."
"Payment has been refunded.","Payment has been refunded."
"Payment has been reversed.","Payment has been reversed."
"Change credit card information","Change credit card information"
"Change bank account information","Change bank account information"
"Name on Card","Name on Card"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"What is this?","What is this?"
"Name on the Card: %s","Name on the Card: %s"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"--Please Select--","--Please Select--"
"Month","Month"
"Year","Year"
"Account holder","Account holder"
"Bank name","Bank name"
"Bank code","Bank code"
"Account number","Account number"
"Account holder: %s","Account holder: %s"
"Bank name: %s","Bank name: %s"
"Bank code: %s","Bank code: %s"
"Account number: xxx%s","Account number: xxx%s"
"Transaction ID: %s","Transaction ID: %s"
